"AÑO","CURSO","MATERIA","GENERO","EDAD","GRUPO ÉTNICO","ZONA RESIDENCIAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","5","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","5","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","7","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","7","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","9","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","9","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","4","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","4","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","4","AFROCOLOMBIANO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","4","AFROCOLOMBIANO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","6","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","6","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","8","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","INDIGENA","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","6","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","6","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","MASCULINO","62","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO LAPICES DE COLORES","MASCULINO","62","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA ARCILLA","FEMENINO","17","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ASESORÍA PROYECTO FINAL","FEMENINO","43","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ASESORÍA PROYECTO FINAL","FEMENINO","43","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO EXPERIMENTAL","FEMENINO","63","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","INSTALACIÓN E INTERVENCIÓN DE LOS ESPACIOS","FEMENINO","25","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","43","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO LÁPIZ","FEMENINO","12","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA BÁSICA","FEMENINO","20","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO LÁPIZ","FEMENINO","15","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA BÁSICA","FEMENINO","17","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE III","FEMENINO","63","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE IV","FEMENINO","25","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","15","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO CARBONCILLO Y SANGUINA","FEMENINO","43","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO BÁSICO I","FEMENINO","20","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO BÁSICO I","FEMENINO","17","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE IMPRESIÓN","FEMENINO","63","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS ARTÍSTICAS IV","FEMENINO","25","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE I","FEMENINO","20","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE I","FEMENINO","17","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ENSAMBLE","FEMENINO","63","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE CONSTRUCCIÓN AUDIOVISUAL","FEMENINO","25","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","INTRODUCCIÓN A MEDIOS PICTÓRICOS","FEMENINO","17","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE III","FEMENINO","29","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","PINTURA ACUARELA","FEMENINO","42","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS ARTÍSTICAS IV","MASCULINO","56","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","MASCULINO","18","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","TÉCNICAS ARTÍSTICAS IV","FEMENINO","36","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO EXPERIMENTAL","FEMENINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","48","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","71","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA PASTELES","FEMENINO","61","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA ACUARELA","FEMENINO","78","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA ENSAMBLE","MASCULINO","16","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","74","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO CARBONCILLO Y SANGUINA","FEMENINO","57","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","PINTURA PASTELES","FEMENINO","64","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","46","RAIZAL","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE APLICADA","MASCULINO","17","INDIGENA","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO EXPERIMENTAL","FEMENINO","29","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","ESCULTURA ARCILLA","FEMENINO","20","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO CARBONCILLO Y SANGUINA","FEMENINO","42","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE IV","MASCULINO","56","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","INSTALACIÓN E INTERVENCIÓN DE LOS ESPACIOS","FEMENINO","36","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA ACUARELA","FEMENINO","41","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE III","FEMENINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO CARBONCILLO Y SANGUINA","FEMENINO","71","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA ENSAMBLE","FEMENINO","55","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO LÁPIZ","FEMENINO","32","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","ESCULTURA ENSAMBLE","FEMENINO","57","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO LÁPIZ","FEMENINO","78","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO LÁPIZ","FEMENINO","78","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ASESORÍA PROYECTO FINAL","MASCULINO","17","INDIGENA","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE IMPRESIÓN","FEMENINO","29","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO LAPICES DE COLORES","FEMENINO","42","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","INSTALACIÓN E INTERVENCIÓN DE LOS ESPACIOS","MASCULINO","56","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESTUDIO DE LA FIGURA HUMANA I","FEMENINO","36","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE IMPRESIÓN","FEMENINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA PASTELES","FEMENINO","71","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","60","INDIGENA","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE CREACIÓN","MASCULINO","17","INDIGENA","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE IMPRESIÓN","FEMENINO","29","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO LAPICES DE COLORES","FEMENINO","42","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","INSTALACIÓN E INTERVENCIÓN DE LOS ESPACIOS","MASCULINO","56","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESTUDIO DE LA FIGURA HUMANA I","FEMENINO","36","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE IMPRESIÓN","FEMENINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA PASTELES","FEMENINO","71","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","60","INDIGENA","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE CREACIÓN","MASCULINO","17","INDIGENA","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS ARTÍSTICAS III","FEMENINO","29","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","ESCULTURA METAL","FEMENINO","42","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE CONSTRUCCIÓN AUDIOVISUAL","MASCULINO","56","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE CONSTRUCCIÓN AUDIOVISUAL","FEMENINO","36","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS ARTÍSTICAS III","FEMENINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESTUDIO DE LA FIGURA HUMANA II","MASCULINO","17","INDIGENA","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS ARTÍSTICAS III","FEMENINO","29","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","ESCULTURA METAL","FEMENINO","42","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE CONSTRUCCIÓN AUDIOVISUAL","MASCULINO","56","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE CONSTRUCCIÓN AUDIOVISUAL","FEMENINO","36","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS ARTÍSTICAS III","FEMENINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESTUDIO DE LA FIGURA HUMANA II","MASCULINO","17","INDIGENA","URBANO"
"2,023","ARTES PLASTICAS","ENSAMBLE","FEMENINO","29","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","11","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESTUDIO DE LA FIGURA HUMANA I","MASCULINO","56","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE IV","FEMENINO","36","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ENSAMBLE","FEMENINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ENSAMBLE","FEMENINO","29","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","11","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESTUDIO DE LA FIGURA HUMANA I","MASCULINO","56","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE IV","FEMENINO","36","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ENSAMBLE","FEMENINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA ACUARELA","FEMENINO","13","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","LABORATORIO 3D","FEMENINO","33","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA ARCILLA","FEMENINO","53","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA PASTELES","FEMENINO","71","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA ACUARELA","FEMENINO","79","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA ENSAMBLE","FEMENINO","74","RAIZAL","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO EXPERIMENTAL","FEMENINO","43","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO CARBONCILLO Y SANGUINA","MASCULINO","55","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","62","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA ACUARELA","FEMENINO","70","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO CARBONCILLO Y SANGUINA","FEMENINO","13","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","11","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA","FEMENINO","33","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA BÁSICA","FEMENINO","28","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA BÁSICA","FEMENINO","28","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE III","FEMENINO","43","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO LAPICES DE COLORES","FEMENINO","13","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO EXPERIMENTAL","FEMENINO","33","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO BÁSICO I","FEMENINO","28","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO BÁSICO I","FEMENINO","28","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS DE IMPRESIÓN","FEMENINO","43","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE II","FEMENINO","33","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE I","FEMENINO","28","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE I","FEMENINO","28","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","TÉCNICAS ARTÍSTICAS III","FEMENINO","43","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","INTRODUCCIÓN A MEDIOS PICTÓRICOS","FEMENINO","28","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","INTRODUCCIÓN A MEDIOS PICTÓRICOS","FEMENINO","28","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ENSAMBLE","FEMENINO","43","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO LÁPIZ","MASCULINO","60","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO CARBONCILLO Y SANGUINA","MASCULINO","76","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO LAPICES DE COLORES","MASCULINO","36","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO CARBONCILLO Y SANGUINA","MASCULINO","61","RAIZAL","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","MASCULINO","17","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA ACUARELA","FEMENINO","12","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO LÁPIZ","MASCULINO","14","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA ENSAMBLE","FEMENINO","37","RAIZAL","RURAL"
"2,023","ARTES PLASTICAS","ESCULTURA ARCILLA","MASCULINO","61","RAIZAL","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA ARCILLA","FEMENINO","20","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","ASESORÍA PROYECTO FINAL","FEMENINO","21","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","12","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO BÁSICO I","MASCULINO","24","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO EXPERIMENTAL","MASCULINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO BÁSICO I","MASCULINO","25","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE II","MASCULINO","49","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","11","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA PASTELES","MASCULINO","13","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE II","FEMENINO","40","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","ESTUDIO DE LA FIGURA HUMANA II","FEMENINO","39","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","INTRODUCCIÓN A MEDIOS PICTÓRICOS","MASCULINO","24","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE II","MASCULINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","INTRODUCCIÓN A MEDIOS PICTÓRICOS","MASCULINO","25","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","LABORATORIO 3D","MASCULINO","49","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA","FEMENINO","40","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","TÉCNICAS DE CREACIÓN","FEMENINO","39","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA BÁSICA","MASCULINO","24","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","LABORATORIO 3D","MASCULINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ESCULTURA BÁSICA","MASCULINO","25","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","PINTURA","MASCULINO","49","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","LABORATORIO 3D","FEMENINO","40","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","ASESORÍA PROYECTO FINAL","FEMENINO","39","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE I","MASCULINO","24","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA","MASCULINO","18","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE I","MASCULINO","25","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","DIBUJO EXPERIMENTAL","MASCULINO","49","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO EXPERIMENTAL","FEMENINO","40","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE APLICADA","FEMENINO","39","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","71","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","DIBUJO LÁPIZ","FEMENINO","54","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","PINTURA OLEO","FEMENINO","76","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","HISTORIA DEL ARTE II","MASCULINO","66","NINGUNO","RURAL"
